manual_match,company_type,page_handle,page_name,company_name,company_id,company_status_date,days_from_company_status_to_now,bigrams_intersection,times_prosecutor,times_defendant,times_unknown_appearences,companies_general_info_columns,changed_picture,has_website,has_top_20_website,phone,has_phone,email,has_email,number_of_likes,has_more_than_100_likes,has_more_than_10_likes,has_more_than_1_likes,checkins,were_here_count,talking_about_count,changed_cover,has_location,has_country,has_state,has_country_state,has_country_state_city,has_country_or_state_or_city,is_unclaimed,is_published,is_verified,is_permanently_closed,is_community_page,start_info,has_start_info,has_text,description_length,description_words,about_length,about_words,products_length,products_words,general_info_length,general_info_words,category,category_list,number_of_records,number_of_pages,companies_events_columns,first_event_time,last_event_time,number_of_different_months_with_events,total_events,total_attending,min_attending_per_event,max_attending_per_event,avg_attending_per_event,total_maybe,min_maybe_per_event,max_maybe_per_event,avg_maybe_per_event,total_noreply,min_noreply_per_event,max_noreply_per_event,avg_noreply_per_event,total_interested,min_interested_per_event,max_interested_per_event,avg_interested_per_event,total_declined,min_declined_per_post,max_declined_per_post,avg_declined_per_post,companies_photos,first_photo_time,last_photo_time,number_of_different_photo_uploaders,number_of_photos_self_tagged,number_of_photos_with_tagged_people_without_self,total_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos,min_number_of_people_tagged_in_photos,max_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos_when_more_than_zero,number_of_different_months_for_photos,total_photos,number_of_albums,number_of_normal_albums,number_of_wall_albums,number_of_mobile_albums,number_of_cover_albums,number_of_profile_albums,number_of_app_albums,number_of_null_albums,number_of_photos_in_normal_albums,number_of_photos_in_wall_albums,number_of_photos_in_mobile_albums,number_of_photos_in_cover_albums,number_of_photos_in_profile_albums,number_of_photos_in_app_albums,number_of_photos_in_null_albums,number_of_photos_1qr_before_status,number_of_photos_2qr_before_status,number_of_photos_3qr_before_status,number_of_photos_4qr_before_status,number_of_photos_6months_before_status,number_of_photos_12months_before_status,companies_posts_columns,companies_posts_calculation_date,days_from_last_post_to_now,days_from_last_post_to_company_status,first_post_time,last_post_time,number_of_different_months_with_posts,total_posts,total_user_changed_post_time,total_posts_with_photos,total_posts_with_photos_more_than_5_comments,total_posts_with_photos_less_than_5_comments,total_posts_with_photos_more_than_5_likes,total_posts_with_photos_less_than_5_likes,total_posts_with_link,total_posts_with_link_more_than_5_comments,total_posts_with_link_less_than_5_comments,total_posts_with_link_more_than_5_likes,total_posts_with_link_less_than_5_likes,total_user_posts,total_user_posts_more_than_5_comments,total_user_posts_less_than_5_comments,total_user_posts_more_than_5_likes,total_user_posts_less_than_5_likes,total_comments_to_user_posts,min_comments_per_user_posts,max_comments_per_user_posts,avg_comments_per_user_posts,total_likes_to_user_posts,min_likes_per_user_posts,max_likes_per_user_posts,avg_likes_per_user_posts,total_other_users_posts,total_other_users_posts_more_than_5_comments,total_other_users_posts_less_than_5_comments,total_other_users_posts_more_than_5_likes,total_other_users_posts_less_than_5_likes,total_comments_to_other_users_posts,min_comments_per_other_users_post,max_comments_per_other_users_post,avg_comments_per_other_users_post,total_likes_to_other_users_posts,min_likes_per_other_users_post,max_likes_per_other_users_post,avg_likes_per_other_users_post,companies_posts_comments_new_columns,first_time_of_post_with_comment,last_time_of_post_with_comment,number_of_different_months_with_comments,total_posts_with_comments,distinct_commentators,distinct_commentators_1qr_months_before_status,distinct_commentators_2qr_months_before_status,distinct_commentators_3qr_months_before_status,distinct_commentators_4qr_months_before_status,distinct_commentators_6months_before_status,distinct_commentators_12months_before_status,distinct_commentators_6months_after_status,companies_posts_reactions_columns,first_post_with_reaction_time,last_post_with_reaction_time,number_of_different_months_with_reactions,total_posts_with_reactions,distinct_interacting_users,distinct_interacting_users_1qr_before_status,distinct_interacting_users_2qr_before_status,distinct_interacting_users_3qr_before_status,distinct_interacting_users_4qr_before_status,distinct_interacting_users_6months_before_status,distinct_interacting_users_12months_before_status,distinct_interacting_users_6months_after_status
1,forceliquidated,393682214115082,פלקון מעדני  בשר,"פלקון מעדני בשר בע""מ",511817470,2005-09-08,3944,0,0,0,0,companies_general_info_columns,1,1,1,09-9501450,1,,0,67,0,1,1,1,1,23,1,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,,0,0,,,,,,,,,Food/Grocery,Meat Shop,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2015-01-04,2016-06-23,1,0,1,1,0.03846153846,0,1,1,7,26,4,0,1,1,1,1,0,0,0,19,5,1,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,32,-3912,2015-01-04,2016-05-25,8,21,4,3,0,3,0,3,18,0,18,10,8,17,0,17,10,7,2,0,1,0.09523809524,94,0,15,4.476190476,17,0,4,0,4,0,0,0,0,4,0,2,0.1904761905,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2015-01-04,2016-05-25,20,21,0,0,0,0,0,0,0,0
,rasham,105858436245779,הילוך שישי- יונדאי ראשל״צ,"הילוך שישי - יונדאי ראשל""צ  בע""מ",511939480,2016-06-26,0,1,0,0,0,companies_general_info_columns,0,0,0,,0,,0,40,0,1,1,54,54,0,0,1,0,0,0,0,0,TRUE,,FALSE,FALSE,,,0,0,,,,,,,,,Local Business,Local Business,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-26,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,closed,107784885937418,"פלס""ר שמעוני",שמעוני-פלס,513251785,2016-06-26,0,9,0,2,1,companies_general_info_columns,1,0,0,,0,,0,138,1,1,1,0,0,0,0,0,0,0,0,0,0,FALSE,,FALSE,FALSE,,,0,1,,,44,6,,,,,Musician/Band,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2010-06-23,2010-06-23,1,0,0,0,0,0,0,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,2185,2185,2010-06-23,2010-07-03,2,24,9,1,0,1,0,1,1,0,1,0,1,13,1,12,0,13,9,0,6,0.375,18,0,3,0.75,13,1,10,0,11,16,0,5,0.6666666667,8,0,2,0.3333333333,companies_posts_comments_columns,2010-06-23,2010-07-03,2,6,8,0,0,0,0,0,0,8,companies_posts_reactions_columns,2010-06-23,2010-07-03,11,24,10,0,0,0,0,0,0,10
,rasham,108604685975193,לב המפרץ עם תותיי,"לב תות בע""מ",512285081,2016-06-26,0,11,0,0,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,2,2,0,0,1,1,0,0,0,1,TRUE,,FALSE,FALSE,,,0,0,,,,,,,,,Local Business,Shopping & Retail,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-26,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,forceliquidated,226336537394757,פרפקט ליס,"פרפקט ליס בע""מ",513467845,2012-09-11,1384,0,3,30,5,companies_general_info_columns,0,0,0,,0,,0,2,0,0,1,21,21,0,0,1,1,0,0,0,1,TRUE,,FALSE,FALSE,,,0,0,,,,,,,,,Local Business,Local Business,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-26,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,closed,110727769022256,טעמים-מוצרי מזון גורמה,"מזון גורמה בע""מ",510988470,2016-06-26,0,11,1,0,0,companies_general_info_columns,1,0,0,,0,,0,73,0,1,1,0,0,0,1,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,,0,1,1041,163,,,,,,,Food/Beverages,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2011-06-28,2016-06-09,1,0,0,0,0,0,0,,13,29,6,3,1,0,1,1,0,0,11,10,0,3,5,0,0,1,1,2,3,2,7,companies_posts_columns,2016-06-26,17,17,2011-06-28,2016-06-09,19,29,6,21,1,20,1,20,22,1,21,1,21,22,0,22,0,22,3,0,2,0.1034482759,28,0,3,0.9655172414,22,1,6,1,6,82,0,74,2.827586207,93,0,91,3.206896552,companies_posts_comments_columns,2011-08-14,2016-04-21,5,5,74,2,0,71,1,2,74,73,companies_posts_reactions_columns,2011-06-28,2016-06-09,27,29,100,1,2,91,5,2,97,99
0,closed,119745948188944,לוטוס-הזהב,"לוטוס הזהב בע""מ",510885833,2016-06-26,0,1,0,0,0,companies_general_info_columns,1,1,1,03-5299617,1,,0,1269,1,1,1,0,0,1,1,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,2012-12-01,1,1,,,78,7,,,,,Travel/Leisure,,1994,1908,companies_events_columns,2012-12-27,2012-12-27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,companies_photos,2012-12-08,2014-06-06,1,5,47,231,1.925,0,17,4.8125,17,120,11,8,1,0,1,1,0,0,37,81,0,1,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,514,514,2012-12-08,2015-01-29,18,99,51,94,8,86,94,0,94,8,86,94,0,93,8,85,93,0,149,0,12,1.505050505,3170,0,136,32.02020202,93,0,6,1,5,0,0,0,0,11,0,10,0.1111111111,companies_posts_comments_columns,2012-12-08,2014-02-17,15,55,89,0,0,0,0,0,0,89,companies_posts_reactions_columns,2012-12-08,2015-01-29,92,99,1123,0,0,0,0,0,0,1123
,closed,120930084679950,במושב גדיש עם שבט הסוויסה והטוביאנה זוללים בשר כבש על האשששש!!! :-),"בשר זול בע""מ",511495855,2016-06-26,0,60,0,0,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,TRUE,,FALSE,FALSE,,,0,0,,,,,,,,,Local Business,Local Business,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-26,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,closed,127900973950447,הסטודיו לאמנויות הבמה - תיאטרון חולון,"מרכז חולון יד בע""מ",510072606,2016-06-26,0,30,0,0,0,companies_general_info_columns,0,1,1,03-5050990,1,,0,153,1,1,1,1,1,0,0,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,2002-01-01,1,1,1180,191,,,,,,,Education,Education,1994,1908,companies_events_columns,2011-03-13,2011-09-23,7,8,234,12,67,29.25,290,21,58,36.25,13750,579,2376,1718.75,290,21,58,36.25,1078,64,223,134.75,companies_photos,2011-02-22,2012-03-15,1,18,37,100,1.408450704,0,8,2.631578947,7,71,6,4,1,0,0,1,0,0,69,1,0,0,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,835,835,2011-03-14,2014-03-14,15,91,13,23,2,21,4,19,25,2,23,5,20,86,2,84,8,78,26,0,5,0.2857142857,153,0,10,1.681318681,86,0,5,0,5,0,0,0,0,0,0,0,0,companies_posts_comments_columns,2011-03-14,2012-05-03,10,15,16,0,0,0,0,0,0,16,companies_posts_reactions_columns,2011-03-14,2014-03-14,83,91,55,0,0,0,0,0,0,55
,closed,137897486556989,יאיר המוקד לאבטחה ומיגון בע״מ,"יאיר המוקד לאבטחה בע""מ",511101990,2016-06-26,0,12,0,0,0,companies_general_info_columns,1,1,1,46792473,1,,0,516,1,1,1,0,0,0,1,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,2001-01-01,1,1,745,126,,,,,,,Company,Company,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2015-09-11,2015-09-24,1,0,0,0,0,0,0,,1,8,4,0,1,1,1,1,0,0,0,4,2,1,1,0,0,0,0,0,8,0,8,companies_posts_columns,2016-06-26,276,276,2015-09-11,2015-09-24,1,4,2,4,0,4,1,3,4,0,4,1,3,4,0,4,1,3,0,0,0,0,13,1,8,3.25,4,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2015-09-11,2015-09-24,4,4,11,0,0,0,11,0,11,11
,liquidated,331814516865175,גליידריה עם האח,"גליידר בע""מ",513683425,2011-03-07,1938,9,0,0,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,TRUE,,FALSE,FALSE,,,0,0,,,,,,,,,Local Business,Local Business,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-26,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,liquidated,766938883317706,מוצרי פרסום טופמאן מתנות,"טופמאן מוצרי פרסום (2003) בע""מ",513468066,2014-04-29,789,18,0,0,0,companies_general_info_columns,1,1,1,08-6751378    ,1,,0,1748,1,1,1,1,1,2,1,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,,0,1,1937,331,95,16,,,,,Local Business,Gift Shop,1994,1908,companies_events_columns,2014-02-27,2014-02-27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,companies_photos,2014-02-17,2016-05-29,1,0,3,9,0.07627118644,0,7,3,21,118,4,2,1,0,1,0,0,0,34,83,0,1,0,0,0,43,0,0,0,43,43,companies_posts_columns,2016-06-26,12,-777,2014-02-17,2016-06-14,23,140,16,137,1,136,3,134,139,1,138,3,136,140,1,139,3,137,16,0,5,0.1142857143,176,0,11,1.257142857,140,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,2014-02-17,2016-05-18,7,9,14,6,0,0,0,6,6,0,companies_posts_reactions_columns,2014-02-17,2016-06-14,91,140,48,22,0,0,0,22,22,0
,rasham,1029559393767648,שטח גלילי - טיולי Rzr,"כלנית גליל בע""מ",513218933,2016-06-26,0,15,0,0,0,companies_general_info_columns,1,0,0,532236441,1,,0,4155,1,1,1,86,86,639,1,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,,0,1,49,7,51,7,,,,,Attractions/Things to Do,"Tours & Sightseeing,Sports & Recreation",1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-01-29,2016-06-23,1,0,3,3,0.01195219124,0,1,1,6,251,7,3,1,1,1,1,0,0,99,68,74,3,7,0,0,92,159,0,0,251,251,companies_posts_columns,2016-06-26,12,12,2016-01-29,2016-06-14,6,50,29,50,12,38,45,5,50,12,38,45,5,50,12,38,45,5,200,0,39,4,4311,1,200,86.22,50,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,2016-01-29,2016-05-18,5,28,178,39,142,0,0,178,178,0,companies_posts_reactions_columns,2016-01-29,2016-06-14,41,50,4268,1336,3309,0,0,4268,4268,0
,rasham,1033097286729151,נטע אפרתי,"נטע אפרתי בע""מ",515193670,2016-06-26,0,0,0,0,0,companies_general_info_columns,0,0,0,,0,,0,51,0,1,1,0,0,3,0,0,0,0,0,0,0,FALSE,,FALSE,FALSE,,,0,1,,,122,20,,,,,Clothing,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-26,22,22,2016-06-04,2016-06-04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2016-06-04,2016-06-04,1,1,0,0,0,0,0,0,0,0
,rasham,102891136538466,חולמת על הנסיך היפה שלי... לילה טוב ツ,"ס.מ. ח'ליל בע""מ",513206953,2016-06-26,0,32,1,0,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,TRUE,,FALSE,FALSE,,,0,0,,,,,,,,,Local Business,Local Business,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-26,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,closed,115345928543651,דוד כספי סוכן נסיעות - לפרטיים ולעסקיים,דוד כספי,510533516,2016-06-26,0,29,0,2,4,companies_general_info_columns,1,0,0,549799064,1,,0,588,1,1,1,0,0,1,1,0,0,0,0,0,0,FALSE,,FALSE,FALSE,,2011-01-01,1,1,1259,184,72,2,,,,,Travel/Leisure,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2013-10-14,2015-10-26,1,0,0,0,0,0,0,,6,18,4,1,1,0,1,1,0,0,1,15,0,1,1,0,0,0,0,1,1,0,2,companies_posts_columns,2016-06-26,84,84,2013-10-14,2016-04-03,20,77,18,71,2,69,14,57,71,2,69,14,57,67,2,65,13,54,30,0,8,0.3896103896,259,0,34,3.363636364,67,0,10,1,9,3,0,1,0.03896103896,12,0,6,0.1558441558,companies_posts_comments_columns,2013-10-14,2015-08-31,5,17,19,0,0,0,1,0,1,19,companies_posts_reactions_columns,2013-10-14,2016-04-03,74,77,131,0,8,6,5,8,16,127
,closed,118443158266085,אסתי ויסמן- ליצור את הדרך שלך: ריפוי ביצירה אינטואיטיבית ובתטא הילינג,"ויסמן את ויסמן בע""מ",511848210,2016-06-26,0,57,0,0,0,companies_general_info_columns,1,1,1,,0,,0,145,1,1,1,0,0,0,1,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,2011-10-01,1,1,221,34,101,13,226,32,71,14,Product/Service,,1994,1908,companies_events_columns,2012-03-07,2012-06-09,2,2,4,0,4,2,0,0,0,0,67,0,67,33.5,0,0,0,0,6,0,6,3,companies_photos,2011-11-02,2015-10-27,1,0,1,2,0.009009009009,0,2,2,30,222,16,13,1,0,1,1,0,0,183,34,0,3,2,0,0,0,0,2,3,0,5,companies_posts_columns,2016-06-26,19,19,2011-11-02,2016-06-07,45,455,47,178,4,174,3,175,203,4,199,3,200,453,4,449,5,448,89,0,6,0.1956043956,294,0,7,0.6461538462,453,0,2,0,2,0,0,0,0,1,0,1,0.002197802198,companies_posts_comments_columns,2011-11-04,2015-10-18,24,47,33,0,0,1,5,0,6,33,companies_posts_reactions_columns,2011-11-02,2016-06-07,436,455,82,0,2,8,8,2,17,82
,liquidated,119577051470002,Meyyo-מיו-מוסיקה והפקת אירועים,"מיו אירועים בע""מ",514158401,2013-03-15,1199,17,0,0,0,companies_general_info_columns,1,0,0,054-8068186/5    //    08-8668185,1,,0,612,1,1,1,0,0,0,0,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,,0,1,1594,243,26,4,,,,,Event Planning/Event Services,Event Planning,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2011-07-17,2011-07-17,1,0,0,0,0,0,0,,1,6,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,1082,-117,2011-07-17,2013-07-10,4,7,0,6,0,6,0,6,6,0,6,0,6,4,0,4,0,4,0,0,0,0,2,0,2,0.2857142857,4,0,3,0,3,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2011-07-17,2013-07-10,5,7,2,0,0,0,0,0,0,2
