manual_match,company_type,page_handle,page_name,company_name,company_id,company_status_date,days_from_company_status_to_now,bigrams_intersection,times_prosecutor,times_defendant,times_unknown_appearences,companies_general_info_columns,changed_picture,has_website,has_top_20_website,phone,has_phone,email,has_email,number_of_likes,has_more_than_100_likes,has_more_than_10_likes,has_more_than_1_likes,checkins,were_here_count,talking_about_count,changed_cover,has_location,has_country,has_state,has_country_state,has_country_state_city,has_country_or_state_or_city,is_unclaimed,is_published,is_verified,is_permanently_closed,is_community_page,start_info,has_start_info,has_text,description_length,description_words,about_length,about_words,products_length,products_words,general_info_length,general_info_words,category,category_list,number_of_records,number_of_pages,companies_events_columns,first_event_time,last_event_time,number_of_different_months_with_events,total_events,total_attending,min_attending_per_event,max_attending_per_event,avg_attending_per_event,total_maybe,min_maybe_per_event,max_maybe_per_event,avg_maybe_per_event,total_noreply,min_noreply_per_event,max_noreply_per_event,avg_noreply_per_event,total_interested,min_interested_per_event,max_interested_per_event,avg_interested_per_event,total_declined,min_declined_per_post,max_declined_per_post,avg_declined_per_post,companies_photos,first_photo_time,last_photo_time,number_of_different_photo_uploaders,number_of_photos_self_tagged,number_of_photos_with_tagged_people_without_self,total_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos,min_number_of_people_tagged_in_photos,max_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos_when_more_than_zero,number_of_different_months_for_photos,total_photos,number_of_albums,number_of_normal_albums,number_of_wall_albums,number_of_mobile_albums,number_of_cover_albums,number_of_profile_albums,number_of_app_albums,number_of_null_albums,number_of_photos_in_normal_albums,number_of_photos_in_wall_albums,number_of_photos_in_mobile_albums,number_of_photos_in_cover_albums,number_of_photos_in_profile_albums,number_of_photos_in_app_albums,number_of_photos_in_null_albums,number_of_photos_1qr_before_status,number_of_photos_2qr_before_status,number_of_photos_3qr_before_status,number_of_photos_4qr_before_status,number_of_photos_6months_before_status,number_of_photos_12months_before_status,companies_posts_columns,companies_posts_calculation_date,days_from_last_post_to_now,days_from_last_post_to_company_status,first_post_time,last_post_time,number_of_different_months_with_posts,total_posts,total_user_changed_post_time,total_posts_with_photos,total_posts_with_photos_more_than_5_comments,total_posts_with_photos_less_than_5_comments,total_posts_with_photos_more_than_5_likes,total_posts_with_photos_less_than_5_likes,total_posts_with_link,total_posts_with_link_more_than_5_comments,total_posts_with_link_less_than_5_comments,total_posts_with_link_more_than_5_likes,total_posts_with_link_less_than_5_likes,total_user_posts,total_user_posts_more_than_5_comments,total_user_posts_less_than_5_comments,total_user_posts_more_than_5_likes,total_user_posts_less_than_5_likes,total_comments_to_user_posts,min_comments_per_user_posts,max_comments_per_user_posts,avg_comments_per_user_posts,total_likes_to_user_posts,min_likes_per_user_posts,max_likes_per_user_posts,avg_likes_per_user_posts,total_other_users_posts,total_other_users_posts_more_than_5_comments,total_other_users_posts_less_than_5_comments,total_other_users_posts_more_than_5_likes,total_other_users_posts_less_than_5_likes,total_comments_to_other_users_posts,min_comments_per_other_users_post,max_comments_per_other_users_post,avg_comments_per_other_users_post,total_likes_to_other_users_posts,min_likes_per_other_users_post,max_likes_per_other_users_post,avg_likes_per_other_users_post,companies_posts_comments_new_columns,first_time_of_post_with_comment,last_time_of_post_with_comment,number_of_different_months_with_comments,total_posts_with_comments,distinct_commentators,distinct_commentators_1qr_months_before_status,distinct_commentators_2qr_months_before_status,distinct_commentators_3qr_months_before_status,distinct_commentators_4qr_months_before_status,distinct_commentators_6months_before_status,distinct_commentators_12months_before_status,distinct_commentators_6months_after_status,companies_posts_reactions_columns,first_post_with_reaction_time,last_post_with_reaction_time,number_of_different_months_with_reactions,total_posts_with_reactions,distinct_interacting_users,distinct_interacting_users_1qr_before_status,distinct_interacting_users_2qr_before_status,distinct_interacting_users_3qr_before_status,distinct_interacting_users_4qr_before_status,distinct_interacting_users_6months_before_status,distinct_interacting_users_12months_before_status,distinct_interacting_users_6months_after_status
1,forceliquidated,393682214115082,פלקון מעדני  בשר,"פלקון מעדני בשר בע""מ",511817470,2005-09-08,3944,0,0,0,0,companies_general_info_columns,1,1,1,09-9501450,TRUE,,0,67,0,1,1,1,1,23,1,1,1,0,0,0,1,no,,no,no,,,0,0,,,,,,,,,Food/Grocery,Meat Shop,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2015-01-04,2016-06-23,1,0,1,1,0.03846153846,0,1,1,7,26,4,0,1,1,1,1,0,0,0,19,5,1,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,32,-3912,2015-01-04,2016-05-25,8,21,4,3,0,3,0,3,18,0,18,10,8,17,0,17,10,7,2,0,1,0.09523809524,94,0,15,4.476190476,17,0,4,0,4,0,0,0,0,4,0,2,0.1904761905,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2015-01-04,2016-05-25,20,21,0,0,0,0,0,0,0,0
,rasham,1029559393767648,שטח גלילי - טיולי Rzr,"כלנית גליל בע""מ",513218933,2016-06-26,0,15,0,0,0,companies_general_info_columns,1,0,0,532236441,TRUE,,0,4155,1,1,1,86,86,639,1,1,1,0,0,0,1,no,,no,no,,,0,1,49,7,51,7,,,,,Attractions/Things to Do,"Tours & Sightseeing,Sports & Recreation",1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-01-29,2016-06-23,1,0,3,3,0.01195219124,0,1,1,6,251,7,3,1,1,1,1,0,0,99,68,74,3,7,0,0,92,159,0,0,251,251,companies_posts_columns,2016-06-26,12,12,2016-01-29,2016-06-14,6,50,29,50,12,38,45,5,50,12,38,45,5,50,12,38,45,5,200,0,39,4,4311,1,200,86.22,50,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,2016-01-29,2016-05-18,5,28,178,39,142,0,0,178,178,0,companies_posts_reactions_columns,2016-01-29,2016-06-14,41,50,4268,1336,3309,0,0,4268,4268,0
,rasham,1033097286729151,נטע אפרתי,"נטע אפרתי בע""מ",515193670,2016-06-26,0,0,0,0,0,companies_general_info_columns,0,0,0,,FALSE,,0,51,0,1,1,0,0,3,0,0,0,0,0,0,0,no,,no,no,,,0,1,,,122,20,,,,,Clothing,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-26,22,22,2016-06-04,2016-06-04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2016-06-04,2016-06-04,1,1,0,0,0,0,0,0,0,0
,rasham,1002604379833919,רשת מדיה,"רשת מדיה בע""מ",511677957,2016-06-26,0,0,0,3,0,companies_general_info_columns,1,0,0,,FALSE,,0,302,1,1,1,0,0,3,1,0,0,0,0,0,0,no,,no,no,,,0,0,,,,,,,,,TV Channel,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-03-20,2016-03-20,1,0,0,0,0,0,0,,1,3,2,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,3,0,0,3,3,companies_posts_columns,2016-06-26,29,29,2016-03-20,2016-05-28,3,9,0,9,0,9,0,9,9,0,9,0,9,9,0,9,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2016-03-20,2016-05-28,7,9,0,0,0,0,0,0,0,0
,rasham,1034302389959997,"י.ח.מ אלקטרו-מכניקה בע""מ","י. ח. מ. אלקטרו מכניקה בע""מ",511380529,2016-06-26,0,4,0,7,0,companies_general_info_columns,1,1,1,08-9203154,TRUE,,0,5,0,0,1,0,0,0,1,1,1,0,0,0,1,no,,no,no,,1988-01-01,1,1,,,131,19,132,13,,,Industrials,Industrials,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-03-02,2016-03-30,1,0,0,0,0,0,0,,1,4,3,0,1,0,1,1,0,0,0,2,0,1,1,0,0,2,2,0,0,4,4,companies_posts_columns,2016-06-26,88,88,2016-03-02,2016-03-30,1,4,1,4,0,4,0,4,4,0,4,0,4,4,0,4,0,4,0,0,0,0,3,0,1,0.75,4,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2016-03-02,2016-03-30,2,4,1,1,1,0,0,1,1,0
1,forceliquidated,142841692392725,טלי רוקני (Tali Rokni),"טלי רוקני בע""מ",514708403,2014-10-02,633,13,0,3,2,companies_general_info_columns,1,1,1,,FALSE,,0,11733,1,1,1,0,0,188,1,0,0,0,0,0,0,no,,no,no,,,0,1,102,14,57,8,,,,,Clothing,,1994,1908,companies_events_columns,2014-05-29,2014-05-29,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,companies_photos,2010-07-15,2016-06-22,1,0,2,2,0.002577319588,0,1,1,58,776,11,7,1,0,1,1,1,0,138,585,0,31,18,4,0,55,35,30,28,90,150,companies_posts_columns,2016-06-26,13,-620,2010-07-11,2016-06-13,69,966,387,907,88,819,504,403,919,88,831,505,414,966,93,873,513,453,1478,0,100,1.530020704,18750,0,200,19.40993789,966,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,2010-07-15,2016-05-23,61,320,547,19,9,75,16,28,109,221,companies_posts_reactions_columns,2010-07-11,2016-06-13,914,966,7728,1357,204,300,411,1505,2056,1050
,rasham,105009142899161,"שלדג מחנאות וספורט בע""מ","שלדג מחנאות וספורט בע""מ",511362279,2016-06-26,0,0,0,0,0,companies_general_info_columns,1,1,1,,FALSE,,0,267,1,1,1,0,0,30,1,1,1,0,0,0,1,no,,no,no,,,0,1,,,,,,,41,6,Local Business,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2010-10-18,2015-09-30,1,0,96,101,0.7890625,0,4,1.052083333,19,128,6,2,1,1,1,1,0,0,91,34,1,1,1,0,0,0,0,1,1,0,2,companies_posts_columns,2016-06-26,18,18,2010-10-18,2016-06-08,47,150,34,134,7,127,23,111,141,7,134,23,118,144,7,137,23,121,101,0,11,0.6733333333,418,0,28,2.786666667,144,0,6,1,5,6,0,2,0.04,7,0,5,0.04666666667,companies_posts_comments_columns,2010-10-18,2015-02-28,19,34,28,0,0,0,0,0,0,28,companies_posts_reactions_columns,2010-10-18,2016-06-08,139,150,110,1,0,9,19,1,24,110
,forceliquidated,389951417837011,הגן של ברני ברני,"הגן של ברני בע""מ",514734185,2015-12-04,205,5,0,0,0,companies_general_info_columns,1,0,0,,FALSE,,0,1485,1,1,1,0,0,0,0,0,0,0,0,0,0,no,,no,no,,,0,0,,,,,,,,,Preschool,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2014-12-12,2015-08-09,1,0,0,0,0,0,0,,7,3752,2,0,0,1,0,1,0,0,0,0,3750,0,2,0,0,0,1,850,2901,1,3752,companies_posts_columns,2016-06-26,54,-151,2014-12-12,2016-05-03,11,164,25,162,2,160,122,40,162,2,160,122,40,155,2,153,121,34,40,0,5,0.243902439,1158,0,22,7.06097561,155,0,9,1,8,0,0,0,0,11,0,7,0.06707317073,companies_posts_comments_columns,2015-03-09,2015-08-16,4,9,11,0,1,11,0,1,11,11,companies_posts_reactions_columns,2014-12-12,2016-05-03,93,164,93,0,3,90,15,3,93,92
,rasham,1032037720175117,קבוצת ברבי-טק,"ברביטק בע""מ",513037002,2016-06-26,0,6,0,0,0,companies_general_info_columns,1,1,1,03-9410385,TRUE,,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,no,,no,no,,,0,1,349,48,133,19,,,,,Engineering/Construction,Engineering/Construction,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-04-20,2016-04-20,1,0,0,0,0,0,0,,1,47,3,0,1,0,1,1,0,0,0,45,0,1,1,0,0,47,0,0,0,47,47,companies_posts_columns,2016-06-26,67,67,2016-04-20,2016-04-20,1,6,0,6,0,6,0,6,6,0,6,0,6,6,0,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2016-04-20,2016-04-20,1,6,0,0,0,0,0,0,0,0
,rasham,1097018920350835,מהדר אור,"אור בונה בע""מ",515178010,2016-06-26,0,6,0,0,0,companies_general_info_columns,1,0,0,48124620,TRUE,,0,4,0,0,1,0,0,0,1,1,1,0,0,0,1,no,,no,no,,,0,0,,,,,,,,,Business Services,"Accountant,Business Consultant",1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-04-27,2016-04-29,1,0,0,0,0,0,0,,1,3,2,0,0,0,1,1,0,0,0,0,0,1,2,0,0,3,0,0,0,3,3,companies_posts_columns,2016-06-26,58,58,2016-04-29,2016-04-29,1,8,0,8,0,8,0,8,8,0,8,0,8,8,0,8,0,8,0,0,0,0,9,0,2,1.125,8,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2016-04-29,2016-04-29,1,8,3,3,0,0,0,3,3,0
