is_match,company_type,page_handle,page_name,company_name,company_id,company_status_date,days_from_company_status_to_now,bigrams_intersection,times_prosecutor,times_defendant,times_unknown_appearences,companies_general_info_columns,changed_picture,has_website,has_top_20_website,phone,has_phone,email,has_email,number_of_likes,has_more_than_100_likes,has_more_than_10_likes,has_more_than_1_likes,checkins,were_here_count,talking_about_count,changed_cover,has_location,has_country,has_state,has_country_state,has_country_state_city,has_country_or_state_or_city,is_unclaimed,is_published,is_verified,is_permanently_closed,is_community_page,start_info,has_start_info,has_text,description_length,description_words,about_length,about_words,products_length,products_words,general_info_length,general_info_words,category,category_list,number_of_records,number_of_pages,companies_events_columns,first_event_time,last_event_time,number_of_different_months_with_events,total_events,total_attending,min_attending_per_event,max_attending_per_event,avg_attending_per_event,total_maybe,min_maybe_per_event,max_maybe_per_event,avg_maybe_per_event,total_noreply,min_noreply_per_event,max_noreply_per_event,avg_noreply_per_event,total_interested,min_interested_per_event,max_interested_per_event,avg_interested_per_event,total_declined,min_declined_per_post,max_declined_per_post,avg_declined_per_post,companies_photos,first_photo_time,last_photo_time,number_of_different_photo_uploaders,number_of_photos_self_tagged,number_of_photos_with_tagged_people_without_self,total_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos,min_number_of_people_tagged_in_photos,max_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos_when_more_than_zero,number_of_different_months_for_photos,total_photos,number_of_albums,number_of_normal_albums,number_of_wall_albums,number_of_mobile_albums,number_of_cover_albums,number_of_profile_albums,number_of_app_albums,number_of_null_albums,number_of_photos_in_normal_albums,number_of_photos_in_wall_albums,number_of_photos_in_mobile_albums,number_of_photos_in_cover_albums,number_of_photos_in_profile_albums,number_of_photos_in_app_albums,number_of_photos_in_null_albums,number_of_photos_1qr_before_status,number_of_photos_2qr_before_status,number_of_photos_3qr_before_status,number_of_photos_4qr_before_status,number_of_photos_6months_before_status,number_of_photos_12months_before_status,companies_posts_columns,companies_posts_calculation_date,days_from_last_post_to_now,days_from_last_post_to_company_status,first_post_time,last_post_time,number_of_different_months_with_posts,total_posts,total_user_changed_post_time,total_posts_with_photos,total_posts_with_photos_more_than_5_comments,total_posts_with_photos_less_than_5_comments,total_posts_with_photos_more_than_5_likes,total_posts_with_photos_less_than_5_likes,total_posts_with_link,total_posts_with_link_more_than_5_comments,total_posts_with_link_less_than_5_comments,total_posts_with_link_more_than_5_likes,total_posts_with_link_less_than_5_likes,total_user_posts,total_user_posts_more_than_5_comments,total_user_posts_less_than_5_comments,total_user_posts_more_than_5_likes,total_user_posts_less_than_5_likes,total_comments_to_user_posts,min_comments_per_user_posts,max_comments_per_user_posts,avg_comments_per_user_posts,total_likes_to_user_posts,min_likes_per_user_posts,max_likes_per_user_posts,avg_likes_per_user_posts,total_other_users_posts,total_other_users_posts_more_than_5_comments,total_other_users_posts_less_than_5_comments,total_other_users_posts_more_than_5_likes,total_other_users_posts_less_than_5_likes,total_comments_to_other_users_posts,min_comments_per_other_users_post,max_comments_per_other_users_post,avg_comments_per_other_users_post,total_likes_to_other_users_posts,min_likes_per_other_users_post,max_likes_per_other_users_post,avg_likes_per_other_users_post,companies_posts_comments_new_columns,first_time_of_post_with_comment,last_time_of_post_with_comment,number_of_different_months_with_comments,total_posts_with_comments,distinct_commentators,distinct_commentators_1qr_months_before_status,distinct_commentators_2qr_months_before_status,distinct_commentators_3qr_months_before_status,distinct_commentators_4qr_months_before_status,distinct_commentators_6months_before_status,distinct_commentators_12months_before_status,distinct_commentators_6months_after_status,companies_posts_reactions_columns,first_post_with_reaction_time,last_post_with_reaction_time,number_of_different_months_with_reactions,total_posts_with_reactions,distinct_interacting_users,distinct_interacting_users_1qr_before_status,distinct_interacting_users_2qr_before_status,distinct_interacting_users_3qr_before_status,distinct_interacting_users_4qr_before_status,distinct_interacting_users_6months_before_status,distinct_interacting_users_12months_before_status,distinct_interacting_users_6months_after_status
"",rasham,10316690869,"הפועל ""איזי-פורקס"" קרית שלום","איזי פורקס בע""מ ",513213751,2016-06-28,0,19,0,17,13,companies_general_info_columns,1,0,0,,0,,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,false,,false,false,,,0,0,,,,,,,,,Community,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2008-02-05 09:36:31,2008-02-05 09:36:31,1,0,0,0,0.0,0,0,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-28 14:24:27.622,130,130,2016-02-19 15:15:22,2016-02-19 15:15:22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,1,0,0,1,12,12,12,12.0,3,3,3,3.0,companies_posts_comments_columns,2016-02-19 15:15:22,2016-02-19 15:15:22,1,1,10,0,10,0,0,10,10,0,companies_posts_reactions_columns,2016-02-19 15:15:22,2016-02-19 15:15:22,1,1,3,0,3,0,0,3,3,0
"",rasham,103175126483701,ישיבת יין בציר 2004 אקהה,"א.ק.ה.ה בע""מ",513341958,2016-06-28,0,23,0,0,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,true,,false,false,,,0,0,,,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",rasham,1031875426837952,קולה סונל,"קולה סונל בע""מ",512748955,2016-06-28,0,0,0,8,0,companies_general_info_columns,0,1,1,039514920,1,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Automotive Wholesaler,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",rasham,1032037720175117,קבוצת ברבי-טק,"ברביטק בע""מ",513037002,2016-06-28,0,6,0,0,0,companies_general_info_columns,1,1,1,03-9410385,1,,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,false,,false,false,,,0,1,349,48,133,19,,,,,Engineering/Construction,Engineering/Construction,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-04-20 07:41:07,2016-04-20 08:10:29,1,0,0,0,0.0,0,0,,1,47,3,0,1,0,1,1,0,0,0,45,0,1,1,0,0,47,0,0,0,47,47,companies_posts_columns,2016-06-28 14:24:27.622,69,69,2016-04-20 08:05:55,2016-04-20 08:10:28,1,6,0,6,0,6,0,6,6,0,6,0,6,6,0,6,0,6,0,0,0,0.0,0,0,0,0.0,6,0,0,0,0,0,0,0,0.0,0,0,0,0.0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2016-04-20 08:05:55,2016-04-20 08:10:28,1,6,0,0,0,0,0,0,0,0
"",closed,103214736506853,גן יבנה - בונים עתיד,"עתיד גן יבנה בע""מ",510109465,2016-06-28,0,15,0,0,0,companies_general_info_columns,1,0,0,,0,,0,537,1,1,1,0,0,19,1,0,0,0,0,0,0,false,,false,false,,2012-10-01 00:00:00,1,1,1547,273,190,98,,,,,Community,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2012-10-18 08:37:44,2013-03-20 06:43:18,1,0,0,0,0.0,0,0,,5,10,4,1,1,0,1,1,0,0,1,6,0,1,2,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-28 14:24:27.622,20,20,2012-10-18 08:38:26,2016-06-08 08:24:19,19,103,42,51,2,49,16,35,51,2,49,16,35,48,12,36,43,5,372,0,93,3.6116504854368934,885,0,84,8.592233009708737,48,0,55,2,53,15,0,4,0.14563106796116504,69,0,12,0.6699029126213593,companies_posts_comments_columns,2012-10-18 08:38:26,2013-04-24 08:21:21,7,42,119,0,0,0,0,0,0,0,companies_posts_reactions_columns,2012-10-18 08:38:26,2016-06-08 08:24:19,96,103,418,0,0,0,0,0,0,0
"",rasham,1032243330202760,א.ב שרותי רכב,"א.ב. תלפיות בע""מ",511431751,2016-06-28,0,9,0,0,0,companies_general_info_columns,0,0,0,,0,,0,3,0,0,1,3,3,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Repair Service,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,closed,1032243330202760,א.ב שרותי רכב,"א.ב. שרותי רכב בע""מ",510814577,2016-06-28,0,1,0,0,0,companies_general_info_columns,0,0,0,,0,,0,3,0,0,1,3,3,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Repair Service,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",closed,1032248973505578,נגרית יקירי,"נגרית יקיר (1992) בע""מ",511716151,2016-06-28,0,1,0,0,0,companies_general_info_columns,1,1,1,052-2261911,1,,0,40,0,1,1,0,0,1,1,1,1,0,0,0,1,false,,false,false,,,0,1,,,46,8,,,,,Local Business,"Carpenter,Kitchen Construction",1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-01-08 16:20:38,2016-02-10 08:39:53,1,0,0,0,0.0,0,0,,2,108,4,1,1,0,1,1,0,0,101,1,0,1,5,0,0,0,108,0,0,108,108,companies_posts_columns,2016-06-28 14:24:27.622,139,139,2016-01-08 16:20:39,2016-02-10 08:39:53,2,8,1,8,0,8,0,8,8,0,8,0,8,8,0,8,0,8,1,0,1,0.125,11,0,2,1.375,8,0,0,0,0,0,0,0,0.0,0,0,0,0.0,companies_posts_comments_columns,2016-02-10 08:39:53,2016-02-10 08:39:53,1,1,1,0,1,0,0,1,1,0,companies_posts_reactions_columns,2016-01-08 16:20:39,2016-02-10 08:39:53,4,8,5,0,5,0,0,5,5,0
"",rasham,1032385593501738,משה את חנן שירותי רכב,"משה את חנן שירותי רכב בע""מ",515406551,2016-06-28,0,0,0,0,0,companies_general_info_columns,0,0,0,,0,,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Auto Body Shop,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",closed,1032461666782730,Capital note,"שטר הון בע""מ",512067752,2016-06-28,0,11,0,0,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,,false,false,,,0,1,1612,288,,,,,,,Interest,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",forceliquidated,127101990760871,"מתכת התבור למשאיות ומסחר , אלון תבור","מתכת תבור בע""מ",510992761,1989-08-07,9822,27,0,0,0,companies_general_info_columns,0,0,0,,0,,0,5,0,0,1,55,55,0,0,1,0,0,0,0,0,true,,false,false,,,0,0,,,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
